Date,Year,Month,Day,DayOfWeek,Station,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,O3,CO,Temperature,Humidity,Wind_Speed,Rainfall
2026-03-10,2026,3,10,1,Balanagar SPCB,340.0,Very Poor,296.0,340.0,30.8,5.4,3.5,0.1,26.29,111.0,0.04,0.0
2026-03-10,2026,3,10,1,HITEC City,70.0,Satisfactory,70.0,22.0,10.1,,25.2,,15.8,87.4,0.3,0.0
2026-03-10,2026,3,10,1,IDA Pashamylaram SPCB,122.0,Moderate,122.0,50.0,2.4,9.2,6.8,9.4,19.9,64.0,0.2,0.0
2026-03-10,2026,3,10,1,Sanathnagar SPCB,80.0,Satisfactory,80.0,,7.3,4.4,7.3,8.5,21.8,45.0,0.8,0.0
2026-03-10,2026,3,10,1,US Consulate,93.0,Satisfactory,93.0,,,,,,35.0,16.0,1.8,0.0
2026-03-10,2026,3,10,1,Uppal SPCB,97.0,Satisfactory,97.0,43.0,33.9,3.6,10.8,4.8,,,,0.0
2026-03-10,2026,3,10,1,Zoo Park SPCB,139.0,Moderate,139.0,82.0,4.3,1.5,10.5,4.4,28.5,48.0,0.7,0.0
2026-03-11,2026,3,11,2,Balanagar SPCB,195.0,Moderate,195.0,153.0,36.6,6.1,1.8,0.1,24.315,111.0,0.145,0.0
2026-03-11,2026,3,11,2,HITEC City,70.0,Satisfactory,70.0,22.0,10.1,,25.2,,15.8,87.4,0.3,0.0
2026-03-11,2026,3,11,2,IDA Pashamylaram SPCB,113.0,Moderate,113.0,46.0,2.6,3.3,7.5,6.9,27.366666666666664,70.0,1.5666666666666669,0.0
2026-03-11,2026,3,11,2,Sanathnagar SPCB,68.0,Satisfactory,68.0,,8.7,4.2,5.4,9.0,24.866666666666664,46.0,0.8666666666666667,0.0
2026-03-11,2026,3,11,2,US Consulate,93.0,Satisfactory,93.0,,,,,,35.0,16.0,1.8,0.0
2026-03-11,2026,3,11,2,Uppal SPCB,147.0,Moderate,147.0,57.0,27.2,4.2,24.3,6.6,,,,0.0
